Date,Rank,Nombre,Símbolo,Cap. de Mercado,Precio,Acciones en circulación,% 1h,% 24h,% 7d
22 September 2013,48.0,Nibble,NBL,1581.0,0.001597,989854.0,,-17.29,-46.7,-48.28
15 September 2013,44.0,Nibble,NBL,3054.0,0.003086,989654.0,,0.14,1.12,12.52
08 September 2013,44.0,Nibble,NBL,2716.0,0.00275,987754.0,,0.61,-2.04,-38.53
01 September 2013,41.0,Nibble,NBL,4399.0,0.004471,983954.0,,0.16,1.33,-17.39
25 August 2013,42.0,Nibble,NBL,5278.0,0.005422,973454.0,,-0.16,1.7,-17.03
18 August 2013,38.0,Nibble,NBL,5737.0,0.006017,953604.0,,-0.16,-6.53,35.1
11 August 2013,44.0,Nibble,NBL,3958.0,0.004201,942154.0,,0.18,-15.94,-3.11
04 August 2013,43.0,Nibble,NBL,4053.0,0.004312,939954.0,,-0.08,-17.51,33.75
28 July 2013,40.0,Nibble,NBL,2854.0,0.003043,937954.0,,0.02,-49.46,-54.76
21 July 2013,38.0,Nibble,NBL,5357.0,0.006903,776104.0,,0.65,-2.31,2.05
14 July 2013,33.0,Nibble,NBL,5395.0,0.007026,767904.0,,1.23,14.68,292.74
07 July 2013,34.0,Nibble,NBL,1360.0,0.00179,759804.0,,1.27,0.0,-50.28
30 June 2013,23.0,Nibble,NBL,2710.0,0.003584,756004.0,,-0.89,-0.68,-14.91
23 June 2013,23.0,Nibble,NBL,3232.0,0.004305,750754.0,,-0.23,-0.65,44.03
16 June 2013,23.0,Nibble,NBL,1867.0,0.002984,625804.0,,0.22,18.64,0.0
