Date,Rank,Nombre,Símbolo,Cap. de Mercado,Precio,Acciones en circulación,% 1h,% 24h,% 7d
06 October 2013,37.0,Hypercoin,HYC,1327.0,0.00258,514325.0,,0.15,0.42,25.79
29 September 2013,36.0,Hypercoin,HYC,1187.0,0.002307,514300.0,,-0.35,1.28,4.56
22 September 2013,49.0,Hypercoin,HYC,1158.0,0.002252,514050.0,,4.42,-39.19,-42.6
15 September 2013,48.0,Hypercoin,HYC,2014.0,0.00392,513625.0,,0.14,-32.66,-19.35
08 September 2013,45.0,Hypercoin,HYC,2502.0,0.004876,513075.0,,0.61,-1.85,-1.86
01 September 2013,45.0,Hypercoin,HYC,2552.0,0.004977,512800.0,,0.24,1.33,-28.32
25 August 2013,46.0,Hypercoin,HYC,3552.0,0.006936,512150.0,,-0.16,1.57,-6.64
18 August 2013,44.0,Hypercoin,HYC,3837.0,0.007491,512150.0,,-0.16,21.09,0.0
11 August 2013,46.0,Hypercoin,HYC,2503.0,0.004887,512150.0,,-3.77,-8.72,1.32
04 August 2013,48.0,Hypercoin,HYC,2492.0,0.004865,512150.0,,-0.08,0.77,-12.37
28 July 2013,41.0,Hypercoin,HYC,2816.0,0.005498,512150.0,,-0.04,-21.49,11.51
21 July 2013,40.0,Hypercoin,HYC,2414.0,0.004719,511600.0,,-16.39,-25.69,-28.04
14 July 2013,36.0,Hypercoin,HYC,3391.0,0.006628,511575.0,,3.54,44.69,202.72
07 July 2013,32.0,Hypercoin,HYC,1715.0,0.003355,511225.0,,1.27,172.21,0.0
