Date,Rank,Nombre,Símbolo,Cap. de Mercado,Precio,Acciones en circulación,% 1h,% 24h,% 7d
22 September 2013,25.0,Memecoin,MEM,35317.0,0.000955,36980352.0,,-0.06,-20.88,-9.65
15 September 2013,24.0,Memecoin,MEM,31907.0,0.000899,35482552.0,,-1.87,-25.39,-79.19
08 September 2013,15.0,Memecoin,MEM,143213.0,0.004261,33606952.0,,0.21,11.35,95.0
01 September 2013,20.0,Memecoin,MEM,91218.0,0.002891,31548150.0,,32.34,93.09,256.47
25 August 2013,30.0,Memecoin,MEM,25623.0,0.000866,29576750.0,,0.55,2.36,126.18
18 August 2013,35.0,Memecoin,MEM,8625.0,0.000312,27611750.0,,-0.27,4.62,40.79
11 August 2013,40.0,Memecoin,MEM,6190.0,0.000241,25673450.0,,9.77,14.86,-2.12
04 August 2013,39.0,Memecoin,MEM,5845.0,0.000246,23801050.0,,-0.15,-0.34,1.63
28 July 2013,37.0,Memecoin,MEM,5186.0,0.00024,21583550.0,,-0.94,-0.88,-30.29
21 July 2013,36.0,Memecoin,MEM,6858.0,0.000345,19850350.0,,0.25,0.28,-33.12
14 July 2013,29.0,Memecoin,MEM,7430.0,0.000416,17876750.0,,2.3,5.36,113.89
07 July 2013,29.0,Memecoin,MEM,3079.0,0.000194,15851850.0,,4.03,0.0,-74.84
30 June 2013,19.0,Memecoin,MEM,10669.0,0.00076,14031450.0,,-0.56,-3.09,-29.92
23 June 2013,19.0,Memecoin,MEM,13338.0,0.00109,12236950.0,,-0.02,-4.68,29.75
16 June 2013,18.0,Memecoin,MEM,8475.0,0.000816,10381550.0,,-0.33,15.87,-49.94
09 June 2013,17.0,Memecoin,MEM,14866.0,0.001715,8668150.0,,-0.13,0.0,0.0
