Date,Rank,Nombre,Símbolo,Cap. de Mercado,Precio,Acciones en circulación,% 1h,% 24h,% 7d
22 September 2013,51.0,GIL,GIL,519.0,0.000161,3212740.0,,5.19,-71.74,-75.54
15 September 2013,47.0,GIL,GIL,2304.0,0.000717,3212740.0,,0.14,2.26,-14.04
08 September 2013,46.0,GIL,GIL,2498.0,0.000791,3158801.0,,0.61,-21.95,-7.52
01 September 2013,46.0,GIL,GIL,2540.0,0.000844,3010300.0,,0.24,-9.88,0.0
