Date,Rank,Nombre,Símbolo,Cap. de Mercado,Precio,Acciones en circulación,% 1h,% 24h,% 7d
25 August 2013,40.0,NanoToken,NAN,5823.0,0.007864,740462.0,,-0.16,-4.96,-6.23
18 August 2013,37.0,NanoToken,NAN,5758.0,0.007776,740462.0,,-12.87,0.51,0.0
28 July 2013,43.0,NanoToken,NAN,2688.0,0.003881,692747.0,,-0.04,-46.53,-56.77
21 July 2013,37.0,NanoToken,NAN,6260.0,0.009121,686347.0,,0.51,-3.46,0.0
